Link,name,brand,image,price
https://www.macys.com/shop/product/bulova-mens-chronograph-curv-progressive-sport-gold-tone-stainless-steel-bracelet-watch-44mm?ID=9942406&CategoryID=239616,Men's Chronograph Curv Progressive Sport Gold-Tone Stainless Steel Bracelet Watch 44mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/8/optimized/14352288_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$","$1,195.00 "
https://www.macys.com/shop/product/raymond-weil-mens-swiss-tango-diver-stainless-steel-bracelet-watch-42mm?ID=5408434&CategoryID=239616,Men's Swiss Tango Diver Stainless Steel Bracelet Watch 42mm,Raymond Weil,"https://slimages.macysassets.com/is/image/MCY/products/8/optimized/9168108_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$","$1,050.00 "
https://www.macys.com/shop/product/bulova-mens-classic-stainless-steel-bracelet-watch-41mm?ID=10190501&CategoryID=239616,Men's Classic Stainless Steel Bracelet Watch 41mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15175456_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$225.00 
https://www.macys.com/shop/product/citizen-mens-gold-tone-stainless-steel-bracelet-watch-42mm-ag8342-52l?ID=1523975&CategoryID=239616,Men's Gold-Tone Stainless Steel Bracelet Watch 42mm AG8342-52L,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/2178085_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$139.99 
https://www.macys.com/shop/product/bulova-mens-automatic-sutton-brown-leather-strap-watch-43mm?ID=6272126&CategoryID=239616,Men's Automatic Sutton Brown Leather Strap Watch 43mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/9878635_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$550.00 
https://www.macys.com/shop/product/marvel-by-citizen-eco-drive-mens-black-panther-chronograph-black-bracelet-watch-42mm?ID=8456397&CategoryID=239616,Eco-Drive Men's Black Panther Chronograph Black Bracelet Watch 42mm,Marvel by Citizen,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/11923840_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$550.00 
https://www.macys.com/shop/product/bulova-mens-chronograph-curv-stainless-steel-bracelet-watch-44mm?ID=6272119&CategoryID=239616,Men's Chronograph Curv Stainless Steel Bracelet Watch 44mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/8/optimized/9623608_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$","$1,095.00 "
https://www.macys.com/shop/product/tommy-hilfiger-womens-red-white-blue-nylon-strap-watch-35mm-created-for-macys?ID=8472977&CategoryID=239616,"Women's Red, White, & Blue Nylon Strap Watch 35mm, Created for Macy's",Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/12283864_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-red-silicone-strap-watch-44mm?ID=6867318&CategoryID=239616,Men's Red Silicone Strap Watch 44mm,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15711951_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/fossil-mens-tech-explorist-gen-4-hr-brown-leather-strap-touchscreen-smart-watch-45mm-powered-by-wear-os-by-google?ID=6717048&CategoryID=239616,"Men's Tech Explorist Gen 4 HR Brown Leather Strap Touchscreen Smart Watch 45mm, Powered by Wear OS by Google™",Fossil,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/13791541_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$275.00 
